Sequence,Country Code,Geographic Area,Reference Date,Population Subgroup,Subpop Code,Sex,Age,Source ID,Comments,Data Type,Country,Site Name,Author,Year,Title,Publication Information,Virus Type,NO_CASES,NO_DEATHS,PREV_RATE,INC_RATE,Specimen Type,Test Type,SAMPSIZE
1,WZ,Not specified,1998,Hospitalized in-pts.,L,B,ALL,U0053,Only the prevalence rate was given.  National AIDS Programme Study.  Aug. 98.,P,Swaziland,Not specified,U.S. Department of State,1999,FY00 Humanitarian Assistance Proposal - Swaziland,"Unclassified cable, June, Mbabane 001436.",HIV,-1,-1,50,N/A,B,UNK,N/A
2,WZ,Lubombo region,1999,Hospitalized in-pts.,L,B,ALL,U0053,Only the prevalence rate was given.  Siteki Good Shepherd Hospital.,P,Swaziland,Siteki Good Shepherd Hospital,U.S. Department of State,1999,FY00 Humanitarian Assistance Proposal - Swaziland,"Unclassified cable, June, Mbabane 001436.",HIV,-1,-1,75,N/A,B,UNK,N/A
69,WZ,Shiselweni region,2000,New TB pts.,U,B,ALL,S0521,7th Sentinel Surveillance.  15 May - 30 June 00.,P,Swaziland,Shiselweni region,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,80,N/A,B,ELISA*2,60
9,WZ,National,2000,Pregnant women,G,F,ALL,S0521,"7th Sentinel Surveillance.  Total of all 4 regions.  First time attending antenatal clinic.  Breakdown by region, location, & age is provided.  15 May - 30 June 00.  Also, see N0395.",P,Swaziland,National,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,34.2,N/A,B,ELISA*2,2316
49,WZ,15 rural sites,2000,STI pts.,S,B,ALL,S0521,7th Sentinel Surveillance.  Total of all 4 regions.  Attending a STI clinic.  15 May - 30 June 00.,P,Swaziland,15 rural sites,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,47.8,N/A,B,ELISA*2,1063
29,WZ,Lubombo region,2000,Pregnant women,G,F,ALL,S0521,7th Sentinel Surveillance.  First time attending antenatal clinic.  Breakdown by age is provided.  15 May - 30 June 00.,P,Swaziland,Lubombo region,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,34.5,N/A,B,ELISA*2,643
65,WZ,National,2000,New TB pts.,U,B,ALL,S0521,"7th Sentinel Surveillance.  Total of all 4 regions.  118 males & 153 females.  Breakdown by region, sex, & age is provided.  15 May - 30 June 00.",P,Swaziland,National,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,78.6,N/A,B,ELISA*2,271
100,WZ,Shiselweni region,2000,STI pts.,S,B,ALL,S0521,7th Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  15 May - 30 June 00.,P,Swaziland,Shiselweni region,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,51.8,N/A,B,ELISA*2,340
11,WZ,10 urban sites,2000,Pregnant women,G,F,ALL,S0521,7th Sentinel Surveillance.  Total of all 4 regions.  First time attending antenatal clinic.  Breakdown by age is provided in S0660.  15 May - 30 June 00.,P,Swaziland,10 urban sites,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,35.6,N/A,B,ELISA*2,1204
47,WZ,Shiselweni region,2000,Pregnant women,G,F,ALL,S0521,7th Sentinel Surveillance.  First time attending antenatal clinic.  Breakdown by age is provided.  15 May - 30 June 00.,P,Swaziland,Shiselweni region,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,27,N/A,B,ELISA*2,430
59,WZ,National,2000,STI pts.,S,F,ALL,S0521,7th Sentinel Surveillance.  Total of all 4 regions.  Attending a STI clinic.  15 May - 30 June 00.,P,Swaziland,National,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,51.8,N/A,B,ELISA*2,1301
67,WZ,Lubombo region,2000,New TB pts.,U,B,ALL,S0521,7th Sentinel Surveillance.  15 May - 30 June 00.,P,Swaziland,Lubombo region,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,78.9,N/A,B,ELISA*2,57
80,WZ,National,2000,New TB pts.,U,M,ALL,S0521,7th Sentinel Surveillance.  Total of all 4 regions.  15 May - 30 June 00.,P,Swaziland,National,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,71.2,N/A,B,ELISA*2,118
118,WZ,Lubombo region,2000,STI pts.,S,B,ALL,S0521,7th Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  15 May - 30 June 00.,P,Swaziland,Lubombo region,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,49.4,N/A,B,ELISA*2,621
10,WZ,15 rural sites,2000,Pregnant women,G,F,ALL,S0521,7th Sentinel Surveillance.  Total of all 4 regions.  First time attending antenatal clinic.  Breakdown by age is provided in S0660.  15 May - 30 June 00.,P,Swaziland,15 rural sites,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,32.7,N/A,B,ELISA*2,1112
28,WZ,Hhohho region,2000,Pregnant women,G,F,ALL,S0521,7th Sentinel Surveillance.  First time attending antenatal clinic.  Breakdown by age is provided.  15 May - 30 June 00.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,32.3,N/A,B,ELISA*2,629
46,WZ,Manzini region,2000,Pregnant women,G,F,ALL,S0521,7th Sentinel Surveillance.  First time attending antenatal clinic.  Breakdown by age is provided.  15 May - 30 June 00.,P,Swaziland,Manzini region,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,41,N/A,B,ELISA*2,614
48,WZ,National,2000,STI pts.,S,B,ALL,S0521,"7th Sentinel Surveillance.  Total of all 4 regions.  Attending a STI clinic.  910 males & 1301 females.  Breakdown by region, location, sex, & age is provided.  15 May - 30 June 00.",P,Swaziland,National,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,50.2,N/A,B,ELISA*2,2211
50,WZ,12 urban sites,2000,STI pts.,S,B,ALL,S0521,7th Sentinel Surveillance.  Total of all 4 regions.  Attending a STI clinic.  15 May - 30 June 00.,P,Swaziland,12 urban sites,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,52.4,N/A,B,ELISA*2,1148
62,WZ,National,2000,STI pts.,S,M,ALL,S0521,7th Sentinel Surveillance.  Total of all 4 regions.  Attending a STI clinic.  15 May - 30 June 00.,P,Swaziland,National,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,47.9,N/A,B,ELISA*2,910
66,WZ,Hhohho region,2000,New TB pts.,U,B,ALL,S0521,7th Sentinel Surveillance.  15 May - 30 June 00.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,72.9,N/A,B,ELISA*2,48
68,WZ,Manzini region,2000,New TB pts.,U,B,ALL,S0521,7th Sentinel Surveillance.  15 May - 30 June 00.,P,Swaziland,Manzini region,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,80.2,N/A,B,ELISA*2,106
77,WZ,National,2000,New TB pts.,U,F,ALL,S0521,7th Sentinel Surveillance.  Total of all 4 regions.  15 May - 30 June 00.,P,Swaziland,National,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,84.3,N/A,B,ELISA*2,153
99,WZ,Manzini region,2000,STI pts.,S,B,ALL,S0521,7th Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  15 May - 30 June 00.,P,Swaziland,Manzini region,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,51.3,N/A,B,ELISA*2,665
117,WZ,Hhohho region,2000,STI pts.,S,B,ALL,S0521,7th Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  15 May - 30 June 00.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,2000,7th HIV Sentinel Serosurveillance Report: 2000,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, October, report.",HIV,0,-1,48.9,N/A,B,ELISA*2,585
8,WZ,Shiselweni region,2002,Pregnant women,G,F,ALL,S0660,8th Sentinel Surveillance.  First time attending antenatal clinic.  Age range 15-49 yrs.  17 June - 16 Aug. 02.,P,Swaziland,Shiselweni region,Swaziland Ministry of Health,2002,8th HIV Sentinel Serosurveillance Report Year 2002,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, Swaziland.",HIV,0,-1,37.9,N/A,BW,"ELISA*2, WB",633
12,WZ,Hhohho region,2002,Pregnant women,G,F,ALL,S0660,8th Sentinel Surveillance.  First time attending antenatal clinic.  Age range 15-49 yrs.  17 June - 16 Aug. 02.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,2002,8th HIV Sentinel Serosurveillance Report Year 2002,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, Swaziland.",HIV,0,-1,36.6,N/A,BW,"ELISA*2, WB",704
10,WZ,Rural sites,2002,Pregnant women,G,F,ALL,S0660,8th Sentinel Surveillance.  Total of all 4 regions.  First time attending antenatal clinic.  Age range 15-49 yrs.  Breakdown by age is provided.  17 June - 16 Aug. 02.,P,Swaziland,Rural sites,Swaziland Ministry of Health,2002,8th HIV Sentinel Serosurveillance Report Year 2002,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, Swaziland.",HIV,0,-1,35.9,N/A,BW,"ELISA*2, WB",1206
28,WZ,Manzini region,2002,Pregnant women,G,F,ALL,S0660,8th Sentinel Surveillance.  First time attending antenatal clinic.  Age range 15-49 yrs.  17 June - 16 Aug. 02.,P,Swaziland,Manzini region,Swaziland Ministry of Health,2002,8th HIV Sentinel Serosurveillance Report Year 2002,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, Swaziland.",HIV,0,-1,41.2,N/A,BW,"ELISA*2, WB",694
1,WZ,National,2002,Pregnant women,G,F,UNK,S0660,8th Sentinel Surveillance.  Total of all 4 regions.  First time attending antenatal clinic.  17 June - 16 Aug. 02.,P,Swaziland,National,Swaziland Ministry of Health,2002,8th HIV Sentinel Serosurveillance Report Year 2002,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, Swaziland.",HIV,0,-1,0,N/A,BW,"ELISA*2, WB",3
9,WZ,National,2002,Pregnant women,G,F,ALL,S0660,"8th Sentinel Surveillance.  Total of all 4 regions.  First time attending antenatal clinic.  Age range 15-49 yrs.  Breakdown by region, location, & age is provided.  17 June - 16 Aug. 02.  Also, see N0395.",P,Swaziland,National,Swaziland Ministry of Health,2002,8th HIV Sentinel Serosurveillance Report Year 2002,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, Swaziland.",HIV,0,-1,38.6,N/A,BW,"ELISA*2, WB",2787
11,WZ,Urban sites,2002,Pregnant women,G,F,ALL,S0660,8th Sentinel Surveillance.  Total of all 4 regions.  First time attending antenatal clinic.  Age range 15-49 yrs.  Breakdown by age is provided.  17 June - 16 Aug. 02.,P,Swaziland,Urban sites,Swaziland Ministry of Health,2002,8th HIV Sentinel Serosurveillance Report Year 2002,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, Swaziland.",HIV,0,-1,40.6,N/A,BW,"ELISA*2, WB",1581
27,WZ,Lubombo region,2002,Pregnant women,G,F,ALL,S0660,8th Sentinel Surveillance.  First time attending antenatal clinic.  Age range 15-49 yrs.  17 June - 16 Aug. 02.,P,Swaziland,Lubombo region,Swaziland Ministry of Health,2002,8th HIV Sentinel Serosurveillance Report Year 2002,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, Swaziland.",HIV,0,-1,38.5,N/A,BW,"ELISA*2, WB",756
4,WZ,Lubombo region,2002,Employees,N,M,ALL,E0102,Contract workers.  Age 20+.  Nov. 02. Salvia test: Gacelisa.,P,Swaziland,Lubombo region,"Evian, C.",2003,"An Anonymous, Unlinked HIV Prevalence among a Large Workforce of Agricultural/Manufacturing Employees in the Eastern . ..","Presentation at Demography and Socio-Economic Conference, Durban, South Africa, March.",HIV,94,-1,35.07,N/A,O,ELISA,268
2,WZ,Lubombo region,2002,Employees,N,M,ALL,E0102,Permanent workers.  Age 20+.  Breakdown by age is provided.  Nov. 02. Salvia test: Gacelisa.,P,Swaziland,Lubombo region,"Evian, C.",2003,"An Anonymous, Unlinked HIV Prevalence among a Large Workforce of Agricultural/Manufacturing Employees in the Eastern . ..","Presentation at Demography and Socio-Economic Conference, Durban, South Africa, March.",HIV,1343,-1,37.23,N/A,O,ELISA,3607
3,WZ,Lubombo region,2002,Employees,N,M,ALL,E0102,Seasonal workers.  Age 20+.  Breakdown by age is provided.  Nov. 02. Salvia test: Gacelisa.,P,Swaziland,Lubombo region,"Evian, C.",2003,"An Anonymous, Unlinked HIV Prevalence among a Large Workforce of Agricultural/Manufacturing Employees in the Eastern . ..","Presentation at Demography and Socio-Economic Conference, Durban, South Africa, March.",HIV,132,-1,42.86,N/A,O,ELISA,308
2,WZ,Hhohho region,2004,Pregnant women,G,F,ALL,S0773,9th Sentinel Surveillance.  4 urban & rural sites: Mbabane & Pigg's Peak Primary Health Care Units & Mkhuzweni & Dvokolwako Health Centres.  1st time attending antenatal clinic.  Age range 15-49 yrs.  Breakdown by age is provided.  13 Oct. - 16 Dec. 04.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,244,-1,40.33,N/A,BW,ELISA,605
29,WZ,National,1996,Blood donors,B,B,ALL,S0773,Only the prevalence rate given which was approximated from a graph.,P,Swaziland,National,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,-1,-1,6,N/A,BW,UNK,N/A
1,WZ,Mbabane,2005(?),Infants born to HIV+ mothers,C,B,ALL,M0876,Tested at 6 wks. of age.,P,Swaziland,Mbabane,"Mahaliyana-Dissanayake, P., M. Hallissey",2005,"Pilot Operational Research and Community Based Project: PMTCT Plus (PORECO): Mbabane, Swaziland, Achieving the Gold Standard . ..","3rd International AIDS Society Conference on HIV Pathogenesis and Treatment, Rio de Janeiro, Brazil, 7/24-27, Online Abstract, No. TuPe5.6P04.",HIV,6,-1,7.06,N/A,B,PCR,85
6,WZ,Seven urban sites,2004,Pregnant women,G,F,ALL,S0773,"9th Sentinel Surveillance.  Total of all 4 region urban sites.   Health Centres, & Dwaleni clinic.  1st time attending antenatal clinic.  Age range 15-49 yrs.  Breakdown by age is provided.  13 Oct. - 16 Dec. 04.",P,Swaziland,Urban sites,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,649,-1,44.45,N/A,BW,ELISA,1460
33,WZ,National,2000,Blood donors,B,B,ALL,S0773,Only the prevalence rate given which was approximated from a graph.,P,Swaziland,National,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,-1,-1,4,N/A,BW,UNK,N/A
4,WZ,Lubombo region,2004,Pregnant women,G,F,ALL,S0773,"9th Sentinel Surveillance.  4 urban & rural sites: Siteki Primary Health Care Unit, Lomahasha & Ndzevane clinics, & Sithobela Health Centre.  1st time attending antenatal clinic.  Age range 15-49 yrs.  Breakdown by age is provided.  13 Oct. - 16 Dec. 04.",P,Swaziland,Lubombo region,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,250,-1,41.95,N/A,BW,ELISA,596
27,WZ,National,1994,Blood donors,B,B,ALL,S0773,Only the prevalence rate given which was approximated from a graph.,P,Swaziland,National,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,-1,-1,5.5,N/A,BW,UNK,N/A
31,WZ,National,1998,Blood donors,B,B,ALL,S0773,Only the prevalence rate given which was approximated from a graph.,P,Swaziland,National,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,-1,-1,7,N/A,BW,UNK,N/A
35,WZ,National,2002,Blood donors,B,B,ALL,S0773,Only the prevalence rate given which was approximated from a graph.,P,Swaziland,National,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,-1,-1,2,N/A,BW,UNK,N/A
2,WZ,Mbabane,2005(?),Infants born to HIV+ mothers,C,B,ALL,M0876,Exclusively breastfed.  Tested at 9 mos. of age.,P,Swaziland,Mbabane,"Mahaliyana-Dissanayake, P., M. Hallissey",2005,"Pilot Operational Research and Community Based Project: PMTCT Plus (PORECO): Mbabane, Swaziland, Achieving the Gold Standard . ..","3rd International AIDS Society Conference on HIV Pathogenesis and Treatment, Rio de Janeiro, Brazil, 7/24-27, Online Abstract, No. TuPe5.6P04.",HIV,0,-1,0,N/A,B,PCR,9
1,WZ,National,2004,Pregnant women,G,F,ALL,S0773,"9th Sentinel Surveillance.  Total of all 4 regions.  16 urban & rural sites.  1st time attending antenatal clinic.  Age range 15-49 yrs.  Breakdown by region, area, & age is provided.  13 Oct. - 16 Dec. 04.",P,Swaziland,National,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,1135,-1,42.59,N/A,BW,ELISA,2665
3,WZ,Manzini region,2004,Pregnant women,G,F,ALL,S0773,9th Sentinel Surveillance.  4 urban & rural sites: King Sobhuza II & Mankayane Health Ctrs. & Family Life Ass. of Swaziland & Luyengo clinics.  1st time attending antenatal clinic.  Age range 15-49 yrs.  Breakdown by age is provided.  13 Oct.-16 Dec. 04.,P,Swaziland,Manzini region,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,333,-1,45.06,N/A,BW,ELISA,739
5,WZ,Shiselweni region,2004,Pregnant women,G,F,ALL,S0773,"9th Sentinel Surveillance.  4 urban & rural sites: Hlatikhulu Primary Health Care Unit, Nhlangano & Matsajeni Health Ctrs., & Dwaleni clinic.  1st time attending antenatal clinic.  Age range 15-49 yrs.  Breakdown by age is provided.  13 Oct.-16 Dec. 04.",P,Swaziland,Shiselweni region,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,308,-1,42.48,N/A,BW,ELISA,725
7,WZ,Nine rural sites,2004,Pregnant women,G,F,ALL,S0773,9th Sentinel Surveillance.  Total of all 4 region rural sites.  1st time attending antenatal clinic.  Age range 15-49 yrs.  Breakdown by age is provided.  13 Oct. - 16 Dec. 04.,P,Swaziland,Rural sites,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,486,-1,40.33,N/A,BW,ELISA,1205
28,WZ,National,1995,Blood donors,B,B,ALL,S0773,Only the prevalence rate given which was approximated from a graph.,P,Swaziland,National,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,-1,-1,5,N/A,BW,UNK,N/A
30,WZ,National,1997,Blood donors,B,B,ALL,S0773,Only the prevalence rate was given.,P,Swaziland,National,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,-1,-1,8.7,N/A,BW,UNK,N/A
32,WZ,National,1999,Blood donors,B,B,ALL,S0773,Only the prevalence rate given which was approximated from a graph.,P,Swaziland,National,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,-1,-1,6.5,N/A,BW,UNK,N/A
34,WZ,National,2001,Blood donors,B,B,ALL,S0773,Only the prevalence rate given which was approximated from a graph.,P,Swaziland,National,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,-1,-1,2.5,N/A,BW,UNK,N/A
36,WZ,National,2003,Blood donors,B,B,ALL,S0773,Only the prevalence rate given which was approximated from a graph.,P,Swaziland,National,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,-1,-1,2,N/A,BW,UNK,N/A
38,WZ,Hhohho & Manizini region,2004,Pregnant women,G,F,ALL,S0773,Only the prevalence rate was given.  9th Sentinel Surveillance Sites: Mbabane Primary Health Care Unit in Hhohho region & King Sobhuza II Health Centre in Manzini region.  Age range 15-49 yrs.  13 Oct. - 16 Dec. 04.,P,Swaziland,"Mbabane Primary Health Care Unit, King Sobhuza II Health Centre",Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,-1,-1,8.1,N/A,BW,ELISA,N/A
37,WZ,National,2004,Blood donors,B,B,ALL,S0773,Only the prevalence rate was given.,P,Swaziland,National,Swaziland Ministry of Health,2005,9th Round of National HIV Serosurveillance in Women Attending Antenatal Care Services at Health Facilities in Swaziland,"Ministry of Health and Social Welfare, Kingdom of Swaziland, March, Survey report.",HIV,-1,-1,1.8,N/A,BW,UNK,N/A
145,WZ,Rural areas,2006-2007,Adults - circumcised,N,M,ALL,S0899,Demographic & Health Survey (DHS).  July 06 - Feb. 07.,P,Swaziland,Rural areas,"Swaziland Central Statistical Office, et al.",2007,Swaziland Demographic and Health Survey: 2006-07,"Central Statistical Office, Mbabane, Swaziland, Macro International Inc., Calverton, Maryland, USA, May, report.",HIV1,0,-1,19.6,N/A,BS,UNK,165
81,WZ,Hhohho region,2006-2007,General population,N,B,ALL,S0899,Demographic & Health Survey (DHS).  Site: Urban & rural areas.  1562 males & 1814 females.  Age 2+.  Breakdown by sex is provided.  July 06 - Feb. 07.,P,Swaziland,Hhohho region,"Swaziland Central Statistical Office, et al.",2007,Swaziland Demographic and Health Survey: 2006-07,"Central Statistical Office, Mbabane, Swaziland, Macro International Inc., Calverton, Maryland, USA, May, report.",HIV1,0,-1,21,N/A,BS,UNK,3375
49,WZ,Urban areas,2006-2007,General population,N,F,ALL,S0899,Demographic & Health Survey (DHS).  Age 2+.  July 06 - Feb. 07.,P,Swaziland,Urban areas,"Swaziland Central Statistical Office, et al.",2007,Swaziland Demographic and Health Survey: 2006-07,"Central Statistical Office, Mbabane, Swaziland, Macro International Inc., Calverton, Maryland, USA, May, report.",HIV1,0,-1,29.3,N/A,BS,UNK,1551
116,WZ,Lubombo region,2006-2007,General population,N,M,ALL,S0899,Demographic & Health Survey (DHS).  Site: Urban & rural areas.  Age 2+.  July 06 - Feb. 07.,P,Swaziland,Lubombo region,"Swaziland Central Statistical Office, et al.",2007,Swaziland Demographic and Health Survey: 2006-07,"Central Statistical Office, Mbabane, Swaziland, Macro International Inc., Calverton, Maryland, USA, May, report.",HIV1,0,-1,15.5,N/A,BS,UNK,1211
153,WZ,Lubombo region,2006-2007,Adults - circumcised,N,M,ALL,S0899,Demographic & Health Survey (DHS).  Site: Urban & rural areas.  July 06 - Feb. 07.,P,Swaziland,Lubombo region,"Swaziland Central Statistical Office, et al.",2007,Swaziland Demographic and Health Survey: 2006-07,"Central Statistical Office, Mbabane, Swaziland, Macro International Inc., Calverton, Maryland, USA, May, report.",HIV1,0,-1,26.3,N/A,BS,UNK,50
3,WZ,National,2006-2007,General population,N,F,ALL,S0899,"Demographic & Health Survey (DHS).  Site: Urban & rural areas.  Age 2+.  Breakdown by region, area, & age is provided.  July 06 - Feb. 07.",P,Swaziland,National,"Swaziland Central Statistical Office, et al.",2007,Swaziland Demographic and Health Survey: 2006-07,"Central Statistical Office, Mbabane, Swaziland, Macro International Inc., Calverton, Maryland, USA, May, report.",HIV1,0,-1,22.1,N/A,BS,UNK,6850
